"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" онжав .гг 9681 — 8681 мяинадзи мувд";"ьтинмоп";"двум изданиям 1868 — 1869 гг. важно";"помнить";", ";"во избежание недоразумений, что во 2";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" ,ьтинмоп онжав .гг 9681 — 8681 мяинадзи";"ов";"изданиям 1868 — 1869 гг. важно помнить,";"во";" ";"избежание недоразумений, что во 2-м";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" ов ,ьтинмоп онжав .гг 9681 — 8681";"еинажебзи";"1868 — 1869 гг. важно помнить, во";"избежание";" ";"недоразумений, что во 2-м издании";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" еинажебзи ов ,ьтинмоп онжав .гг 9681";"йинемузароден";"1869 гг. важно помнить, во избежание";"недоразумений";", ";"что во 2-м издании один";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" ,йинемузароден еинажебзи ов ,ьтинмоп онжав .гг";"отч";"гг. важно помнить, во избежание недоразумений,";"что";" ";"во 2-м издании один только";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" отч ,йинемузароден еинажебзи ов ,ьтинмоп онжав";"ов";"важно помнить, во избежание недоразумений, что";"во";" ";"2-м издании один только IV";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" ов отч ,йинемузароден еинажебзи ов ,ьтинмоп";"2";"помнить, во избежание недоразумений, что во";"2";"-";"м издании один только IV том";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
"-2 ов отч ,йинемузароден еинажебзи ов";"м";"во избежание недоразумений, что во 2-";"м";" ";"издании один только IV том печатался";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" м-2 ов отч ,йинемузароден еинажебзи";"иинадзи";"избежание недоразумений, что во 2-м";"издании";" ";"один только IV том печатался не";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" иинадзи м-2 ов отч ,йинемузароден";"нидо";"недоразумений, что во 2-м издании";"один";" ";"только IV том печатался не у";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" нидо иинадзи м-2 ов отч";"окьлот";"что во 2-м издании один";"только";" ";"IV том печатался не у Риса";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" окьлот нидо иинадзи м-2 ов";"VI";"во 2-м издании один только";"IV";" ";"том печатался не у Риса, а";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" VI окьлот нидо иинадзи м-2";"мот";"2-м издании один только IV";"том";" ";"печатался не у Риса, а в";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" мот VI окьлот нидо иинадзи м";"яслатачеп";"м издании один только IV том";"печатался";" ";"не у Риса, а в типографии";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" яслатачеп мот VI окьлот нидо иинадзи";"ен";"издании один только IV том печатался";"не";" ";"у Риса, а в типографии Мамонтова";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" ен яслатачеп мот VI окьлот нидо";"у";"один только IV том печатался не";"у";" ";"Риса, а в типографии Мамонтова, и";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" у ен яслатачеп мот VI окьлот";"асиР";"только IV том печатался не у";"Риса";", ";"а в типографии Мамонтова, и имеет";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" ,асиР у ен яслатачеп мот VI";"а";"IV том печатался не у Риса,";"а";" ";"в типографии Мамонтова, и имеет помету";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" а ,асиР у ен яслатачеп мот";"в";"том печатался не у Риса, а";"в";" ";"типографии Мамонтова, и имеет помету «издание";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" в а ,асиР у ен яслатачеп";"иифаргопит";"печатался не у Риса, а в";"типографии";" ";"Мамонтова, и имеет помету «издание второе";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" иифаргопит в а ,асиР у ен";"авотномаМ";"не у Риса, а в типографии";"Мамонтова";", ";"и имеет помету «издание второе» лишь";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" ,авотномаМ иифаргопит в а ,асиР у";"и";"у Риса, а в типографии Мамонтова,";"и";" ";"имеет помету «издание второе» лишь на";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" и ,авотномаМ иифаргопит в а ,асиР";"тееми";"Риса, а в типографии Мамонтова, и";"имеет";" ";"помету «издание второе» лишь на обложке";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" тееми и ,авотномаМ иифаргопит в а";"утемоп";"а в типографии Мамонтова, и имеет";"помету";" «";"издание второе» лишь на обложке, а";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
"« утемоп тееми и ,авотномаМ иифаргопит в";"еинадзи";"в типографии Мамонтова, и имеет помету «";"издание";" ";"второе» лишь на обложке, а не";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" еинадзи« утемоп тееми и ,авотномаМ иифаргопит";"еоротв";"типографии Мамонтова, и имеет помету «издание";"второе";"» ";"лишь на обложке, а не на";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" »еоротв еинадзи« утемоп тееми и ,авотномаМ";"ьшил";"Мамонтова, и имеет помету «издание второе»";"лишь";" ";"на обложке, а не на титульном";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" ьшил »еоротв еинадзи« утемоп тееми и";"ан";"и имеет помету «издание второе» лишь";"на";" ";"обложке, а не на титульном листе";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" ан ьшил »еоротв еинадзи« утемоп тееми";"екжолбо";"имеет помету «издание второе» лишь на";"обложке";", ";"а не на титульном листе (как";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" ,екжолбо ан ьшил »еоротв еинадзи« утемоп";"а";"помету «издание второе» лишь на обложке,";"а";" ";"не на титульном листе (как все";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" а ,екжолбо ан ьшил »еоротв еинадзи";"ен";"издание второе» лишь на обложке, а";"не";" ";"на титульном листе (как все тома";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" ен а ,екжолбо ан ьшил »еоротв";"ан";"второе» лишь на обложке, а не";"на";" ";"титульном листе (как все тома, печатавшиеся";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" ан ен а ,екжолбо ан ьшил";"моньлутит";"лишь на обложке, а не на";"титульном";" ";"листе (как все тома, печатавшиеся у";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" моньлутит ан ен а ,екжолбо ан";"етсил";"на обложке, а не на титульном";"листе";" (";"как все тома, печатавшиеся у Риса";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
"( етсил моньлутит ан ен а ,екжолбо";"как";"обложке, а не на титульном листе (";"как";" ";"все тома, печатавшиеся у Риса); так";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" как( етсил моньлутит ан ен а";"есв";"а не на титульном листе (как";"все";" ";"тома, печатавшиеся у Риса); так как";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
" есв как( етсил моньлутит ан ен";"амот";"не на титульном листе (как все";"тома";", ";"печатавшиеся у Риса); так как обложка";"Л. Н. Толстой. Война и мир / Том третий [Печатные варианты]";"Л. Н. Толстой";"1828";"Война и мир / Том третий [Печатные варианты]";"";"";"";"";"";"";"";"омонимия не снята";"При проверке печатных вариантов по двум изданиям 1868 — 1869 гг. важно помнить, во избежание недоразумений, что во 2-м издании один только IV том печатался не у Риса, а в типографии Мамонтова, и имеет помету «издание второе» лишь на обложке, а не на титульном листе (как все тома, печатавшиеся у Риса); так как обложка обычно не сохранялась, то отличить 2-е издание этого тома можно только по нашему указанию на типографию."
